Invoice,StockCode,Description,Quantity,Price,Customer ID,Country,InvoiceDate
512312,90005A,JADE GREEN ENAMEL HAIR COMB,4,1.95,14841.0,United Kingdom,2025-11-28
512312,21203,BUTTERFLIES  HONEYCOMB GARLAND,12,1.65,14841.0,United Kingdom,2025-11-28
512312,21204,DAISIES  HONEYCOMB GARLAND ,12,1.65,14841.0,United Kingdom,2025-11-28
512312,21172,PARTY METAL SIGN ,12,1.45,14841.0,United Kingdom,2025-11-28
512312,15044C,PURPLE PAPER PARASOL,6,2.95,14841.0,United Kingdom,2025-11-28
512312,15044B,BLUE PAPER PARASOL ,6,2.95,14841.0,United Kingdom,2025-11-28
512312,15044A,PINK PAPER PARASOL ,6,2.95,14841.0,United Kingdom,2025-11-28
512312,48187,DOOR MAT NEW ENGLAND,2,7.49,14841.0,United Kingdom,2025-11-28
512312,90057,DIAMANTE RING ASSORTED IN BOX.,24,3.39,14841.0,United Kingdom,2025-11-28
512312,21523,DOOR MAT FANCY FONT HOME SWEET HOME,2,7.49,14841.0,United Kingdom,2025-11-28
512312,21955,DOOR MAT UNION JACK GUNS AND ROSES,2,7.49,14841.0,United Kingdom,2025-11-28
512312,15036,ASSORTED COLOURS SILK FAN,12,0.75,14841.0,United Kingdom,2025-11-28
512312,15034,PAPER POCKET TRAVELING FAN ,24,0.14,14841.0,United Kingdom,2025-11-28
512312,22423,REGENCY CAKESTAND 3 TIER,5,12.75,14841.0,United Kingdom,2025-11-28
512312,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,3,4.95,14841.0,United Kingdom,2025-11-28
512312,21929,JUMBO BAG PINK VINTAGE PAISLEY,20,1.95,14841.0,United Kingdom,2025-11-28
512312,22469,HEART OF WICKER SMALL,24,1.65,14841.0,United Kingdom,2025-11-28
512312,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,20,1.95,14841.0,United Kingdom,2025-11-28
512312,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,1.95,14841.0,United Kingdom,2025-11-28
512312,85099F,JUMBO BAG STRAWBERRY,10,1.95,14841.0,United Kingdom,2025-11-28
512312,22386,JUMBO BAG PINK WITH WHITE SPOTS,20,1.95,14841.0,United Kingdom,2025-11-28
C512313,22138,BAKING SET 9 PIECE RETROSPOT ,-3,4.95,16499.0,United Kingdom,2025-11-28
C512314,79191C,RETRO PLASTIC ELEPHANT TRAY,-12,0.85,17691.0,United Kingdom,2025-11-28
C512315,22178,VICTORIAN GLASS HANGING T-LIGHT,-6,1.25,17146.0,United Kingdom,2025-11-28
C512315,82583,HOT BATHS METAL SIGN,-2,2.1,17146.0,United Kingdom,2025-11-28
512316,22499,WOODEN UNION JACK BUNTING,6,5.95,16197.0,United Kingdom,2025-11-28
512316,22465,HANGING METAL STAR LANTERN,12,1.65,16197.0,United Kingdom,2025-11-28
C512317,22424,ENAMEL BREAD BIN CREAM,-1,12.75,16133.0,United Kingdom,2025-11-28
512316,21765,HANGING METAL BIRD BATH,2,7.95,16197.0,United Kingdom,2025-11-28
C512317,85068,CREAM SWEETHEART SHELF + HOOKS,-1,6.95,16133.0,United Kingdom,2025-11-28
C512317,21891,TRADITIONAL WOODEN SKIPPING ROPE,-5,1.25,16133.0,United Kingdom,2025-11-28
512316,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,4,9.95,16197.0,United Kingdom,2025-11-28
C512317,22426,ENAMEL WASH BOWL CREAM,-1,3.75,16133.0,United Kingdom,2025-11-28
512318,21955,DOOR MAT UNION JACK GUNS AND ROSES,2,7.49,18178.0,United Kingdom,2025-11-28
512318,22412,METAL SIGN NEIGHBOURHOOD WITCH ,12,2.1,18178.0,United Kingdom,2025-11-28
512318,82600,NO SINGING METAL SIGN,12,2.1,18178.0,United Kingdom,2025-11-28
512318,22413,METAL SIGN TAKE IT OR LEAVE IT ,6,2.95,18178.0,United Kingdom,2025-11-28
512318,21175,GIN + TONIC DIET METAL SIGN,12,2.1,18178.0,United Kingdom,2025-11-28
512318,85152,HAND OVER THE CHOCOLATE   SIGN ,12,2.1,18178.0,United Kingdom,2025-11-28
512318,79029,GLASS HONEYPOT WASP CATCHER,6,1.95,18178.0,United Kingdom,2025-11-28
512318,20724,RED SPOTTY CHARLOTTE BAG,10,0.85,18178.0,United Kingdom,2025-11-28
512318,22356,CHARLOTTE BAG PINK WITH WHITE SPOTS,10,0.85,18178.0,United Kingdom,2025-11-28
512318,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,1.95,18178.0,United Kingdom,2025-11-28
512318,85099B,JUMBO BAG RED RETROSPOT,10,1.95,18178.0,United Kingdom,2025-11-28
512318,22383,LUNCH BAG SUKI  DESIGN ,10,1.65,18178.0,United Kingdom,2025-11-28
512318,20725,LUNCH BAG RED SPOTTY,10,1.65,18178.0,United Kingdom,2025-11-28
512318,84050,PINK HEART SHAPE EGG FRYING PAN,6,1.65,18178.0,United Kingdom,2025-11-28
512318,48138,DOOR MAT UNION FLAG,2,7.49,18178.0,United Kingdom,2025-11-28
512318,22355,CHARLOTTE BAG SUKI DESIGN,10,0.85,18178.0,United Kingdom,2025-11-28
512318,20685,DOOR MAT RED SPOT,2,7.49,18178.0,United Kingdom,2025-11-28
512318,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,1.25,18178.0,United Kingdom,2025-11-28
512318,21086,SET/6 RED SPOTTY PAPER CUPS,12,0.65,18178.0,United Kingdom,2025-11-28
512318,22621,TRADITIONAL KNITTING NANCY,12,1.45,18178.0,United Kingdom,2025-11-28
512318,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2.95,18178.0,United Kingdom,2025-11-28
512318,40016,CHINESE DRAGON PAPER LANTERNS,48,0.42,18178.0,United Kingdom,2025-11-28
512318,15036,ASSORTED COLOURS SILK FAN,12,0.75,18178.0,United Kingdom,2025-11-28
512318,20749,ASSORTED COLOUR MINI CASES,2,7.95,18178.0,United Kingdom,2025-11-28
512318,20750,RED/WHITE DOT MINI CASES,2,7.95,18178.0,United Kingdom,2025-11-28
512318,21733,RED HANGING HEART T-LIGHT HOLDER,6,2.95,18178.0,United Kingdom,2025-11-28
512318,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2.1,18178.0,United Kingdom,2025-11-28
512318,71459,HANGING JAM JAR T-LIGHT HOLDER,12,0.85,18178.0,United Kingdom,2025-11-28
512318,22528,GARDENERS KNEELING PAD,12,1.25,18178.0,United Kingdom,2025-11-28
512318,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,1.25,18178.0,United Kingdom,2025-11-28
512318,22586,FELTCRAFT HAIRBAND PINK AND BLUE,12,0.85,18178.0,United Kingdom,2025-11-28
512318,22587,FELTCRAFT HAIRBAND RED AND BLUE,12,0.85,18178.0,United Kingdom,2025-11-28
512318,21094,SET/6 RED SPOTTY PAPER PLATES,12,0.85,18178.0,United Kingdom,2025-11-28
512318,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,16,3.25,18178.0,United Kingdom,2025-11-28
512319,21746,SMALL RED RETROSPOT WINDMILL,12,1.25,14139.0,United Kingdom,2025-11-28
512319,22492,MINI PAINT SET VINTAGE ,36,0.65,14139.0,United Kingdom,2025-11-28
512319,20982,12 PENCILS TALL TUBE SKULLS,12,0.85,14139.0,United Kingdom,2025-11-28
512319,20983,12 PENCILS TALL TUBE RED SPOTTY,12,0.85,14139.0,United Kingdom,2025-11-28
512319,22371,AIRLINE BAG VINTAGE TOKYO 78,2,6.35,14139.0,United Kingdom,2025-11-28
512319,22489,PACK OF 12 TRADITIONAL CRAYONS,24,0.42,14139.0,United Kingdom,2025-11-28
512319,22491,PACK OF 12 COLOURED PENCILS,12,0.85,14139.0,United Kingdom,2025-11-28
512319,21504,SKULLS GREETING CARD,12,0.42,14139.0,United Kingdom,2025-11-28
512319,21495,SKULLS AND CROSSBONES WRAP,25,0.42,14139.0,United Kingdom,2025-11-28
512319,21747,SMALL SKULL WINDMILL,12,1.25,14139.0,United Kingdom,2025-11-28
512319,22561,WOODEN SCHOOL COLOURING SET,12,1.65,14139.0,United Kingdom,2025-11-28
512319,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,8,2.55,14139.0,United Kingdom,2025-11-28
512319,22617,BAKING SET SPACEBOY DESIGN,3,4.95,14139.0,United Kingdom,2025-11-28
512319,21718,RED METAL BEACH SPADE ,12,1.25,14139.0,United Kingdom,2025-11-28
512319,22620,4 TRADITIONAL SPINNING TOPS,12,1.25,14139.0,United Kingdom,2025-11-28
512319,21790,VINTAGE SNAP CARDS,12,0.85,14139.0,United Kingdom,2025-11-28
512319,21889,WOODEN BOX OF DOMINOES,12,1.25,14139.0,United Kingdom,2025-11-28
512319,21704,BAG 250g SWIRLY MARBLES,12,0.85,14139.0,United Kingdom,2025-11-28
512319,22138,BAKING SET 9 PIECE RETROSPOT ,3,4.95,14139.0,United Kingdom,2025-11-28
512319,22353,LUNCH BOX WITH CUTLERY FAIRY CAKES ,6,2.55,14139.0,United Kingdom,2025-11-28
512319,21558,SKULL LUNCH BOX WITH CUTLERY ,6,2.55,14139.0,United Kingdom,2025-11-28
512319,22607,WOODEN ROUNDERS GARDEN SET ,3,8.5,14139.0,United Kingdom,2025-11-28
512319,71459,HANGING JAM JAR T-LIGHT HOLDER,12,0.85,14139.0,United Kingdom,2025-11-28
512319,21716,BOYS VINTAGE TIN SEASIDE BUCKET,8,2.55,14139.0,United Kingdom,2025-11-28
512320,15058A,BLUE WHITE SPOTS GARDEN PARASOL,10,3.95,12843.0,United Kingdom,2025-11-28
C512322,15058A,BLUE WHITE SPOTS GARDEN PARASOL,-10,6.75,12843.0,United Kingdom,2025-11-28
512321,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,432,0.55,16422.0,United Kingdom,2025-11-28
512321,21213,PACK OF 72 SKULL CAKE CASES,120,0.42,16422.0,United Kingdom,2025-11-28
