Invoice,StockCode,Description,Quantity,Price,Customer ID,Country,InvoiceDate
494636,21244,BLUE  SPOTTY PLATE ,3,1.69,16335.0,United Kingdom,2025-07-28
494636,21245,GREEN  SPOTTY PLATE ,3,1.69,16335.0,United Kingdom,2025-07-28
494636,20676,RED SPOTTY BOWL,2,1.25,16335.0,United Kingdom,2025-07-28
494636,21034,REX CASH+CARRY JUMBO SHOPPER,2,0.95,16335.0,United Kingdom,2025-07-28
494636,20675,BLUE SPOTTY BOWL,3,1.25,16335.0,United Kingdom,2025-07-28
494636,21559,STRAWBERRY LUNCHBOX WITH CUTLERY,2,2.55,16335.0,United Kingdom,2025-07-28
494636,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,3,2.55,16335.0,United Kingdom,2025-07-28
494636,21239,PINK  SPOTTY CUP,4,0.85,16335.0,United Kingdom,2025-07-28
494636,21238,RED SPOTTY CUP,3,0.85,16335.0,United Kingdom,2025-07-28
494636,20677,PINK SPOTTY BOWL,3,1.25,16335.0,United Kingdom,2025-07-28
494636,22352,LUNCHBOX WITH CUTLERY RETROSPOT ,2,2.55,16335.0,United Kingdom,2025-07-28
494636,21561,DINOSAUR LUNCHBOX WITH CUTLERY,2,2.55,16335.0,United Kingdom,2025-07-28
494636,72756,FAIRY CAKE CANDLES,4,1.49,16335.0,United Kingdom,2025-07-28
494636,84706B,FAIRY CAKES TABLE CLOCK,2,8.95,16335.0,United Kingdom,2025-07-28
494636,21242,RED SPOTTY PLATE ,3,1.69,16335.0,United Kingdom,2025-07-28
494636,21240,BLUE  SPOTTY CUP,2,0.85,16335.0,United Kingdom,2025-07-28
494636,21243,PINK  SPOTTY PLATE ,3,1.69,16335.0,United Kingdom,2025-07-28
494636,85049C,ROMANTIC PINKS RIBBONS ,2,1.25,16335.0,United Kingdom,2025-07-28
494636,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,3,3.75,16335.0,United Kingdom,2025-07-28
494636,21181,PLEASE ONE PERSON  METAL SIGN,2,2.1,16335.0,United Kingdom,2025-07-28
494636,21241,GREEN SPOTTY CUP,3,0.85,16335.0,United Kingdom,2025-07-28
494636,48194,DOORMAT HEARTS,1,6.75,16335.0,United Kingdom,2025-07-28
494636,72484,ROSES IN WHITE HEART CANDLE ,12,1.25,16335.0,United Kingdom,2025-07-28
494636,37503,TEA TIME CAKE STAND IN GIFT BOX,3,10.75,16335.0,United Kingdom,2025-07-28
494636,47567B,TEA TIME KITCHEN APRON,3,5.95,16335.0,United Kingdom,2025-07-28
494636,47559B,TEA TIME OVEN GLOVE,4,1.25,16335.0,United Kingdom,2025-07-28
494636,20685,RED SPOTTY COIR DOORMAT,1,6.75,16335.0,United Kingdom,2025-07-28
494636,20674,GREEN SPOTTY BOWL,4,1.25,16335.0,United Kingdom,2025-07-28
494636,85049H,URBAN BLACK RIBBONS ,1,1.25,16335.0,United Kingdom,2025-07-28
494636,85049B,LUSH GREENS RIBBONS,2,1.25,16335.0,United Kingdom,2025-07-28
494636,22367,CHILDS APRON SPACEBOY DESIGN,4,1.95,16335.0,United Kingdom,2025-07-28
494636,84520D,PACK OF 20 FAIRY CAKE PAPER NAPKINS,6,0.85,16335.0,United Kingdom,2025-07-28
494636,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,2,3.75,16335.0,United Kingdom,2025-07-28
494636,85152,HAND OVER THE CHOCOLATE   SIGN ,2,2.1,16335.0,United Kingdom,2025-07-28
494637,21330,WOODLAND ANIMAL  WRITING SET ,2,1.65,14451.0,United Kingdom,2025-07-28
494637,22327,ROUND SNACK BOXES SET OF 4 SKULLS,3,2.95,14451.0,United Kingdom,2025-07-28
494637,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2,2.95,14451.0,United Kingdom,2025-07-28
494637,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,3,2.95,14451.0,United Kingdom,2025-07-28
494637,21248,DOOR HANGER  MUM + DADS ROOM,2,1.45,14451.0,United Kingdom,2025-07-28
494637,37508,NEW ENGLAND CERAMIC CAKE SERVER,2,2.55,14451.0,United Kingdom,2025-07-28
494637,85152,HAND OVER THE CHOCOLATE   SIGN ,1,2.1,14451.0,United Kingdom,2025-07-28
494637,21172,PARTY METAL SIGN ,1,1.45,14451.0,United Kingdom,2025-07-28
494637,22100,SKULLS SQUARE TISSUE BOX,1,1.25,14451.0,United Kingdom,2025-07-28
494637,84519A,TOMATO CHARLIE+LOLA COASTER SET,2,2.95,14451.0,United Kingdom,2025-07-28
494637,22367,CHILDS APRON SPACEBOY DESIGN,3,1.95,14451.0,United Kingdom,2025-07-28
494637,82600,NO SINGING METAL SIGN,1,2.1,14451.0,United Kingdom,2025-07-28
494637,22030,SWALLOWS GREETING CARD,24,0.42,14451.0,United Kingdom,2025-07-28
494637,21160,KEEP OUT GIRLS DOOR HANGER ,1,1.45,14451.0,United Kingdom,2025-07-28
